ID;UNITING_ID;CODE;NAME_RU;NAME_KZ;NAME_EN;EDITABLE;ID_CH;CHD
1000000004;1000000004;4;УДОСТОВЕРЕНИЕ ЛИЧНОСТИ ИН.ГРАЖДАНИНА;ШЕТЕЛ АЗАМ-ЫҢ ЖЕКЕ БАСЫНЫҢ КУӘЛІГІ;FOREIGN NATIONAL ID;1;1000000004;18.03.16 17:25:14,815517000
1000000005;1000000005;5;ВИД НА ЖИТЕЛЬСТВО ИН.ГРАЖДАНИНА;ШЕТЕЛ АЗАМАТЫНЫҢ ТҰРУҒА БЕЛГІ ҚАҒАЗЫ;RESIDENCE PERMIT;1;1000000005;18.03.16 17:25:14,815517000
1000000006;1000000006;6;ЛИЦО БЕЗ ГРАЖДАНСТВА;АЗАМАТТЫҒЫ ЖОҚ АДАМ;STATELESS PERSON;1;1000000006;18.03.16 17:25:14,815517000
1000000007;1000000007;7;ВОЕННЫЙ БИЛЕТ;ӘСКЕРИ БИЛЕТ;MILITARY ID;1;1000000007;18.03.16 17:25:14,815517000
1000000008;1000000008;8;ВОДИТЕЛЬСКИЕ ПРАВА;ЖҮРГІЗУШІ КУӘЛІГІ;DRIVING LICENCE;1;1000000008;18.03.16 17:25:14,815517000
1000000009;1000000009;9;СЛУЖЕБНОЕ УДОСТОВЕРЕНИЕ;ҚЫЗМЕТТІК КУӘЛІГІ;OFFICIAL IDENTIFICATION;1;1000000009;18.03.16 17:25:14,815517000
1000000001;1000000001;1;ПАСПОРТ РК;ҚР ТӨЛҚҰЖАТЫ;KAZAKHSTAN PASSPORT;1;1000000001;18.03.16 17:25:14,815517000
1000000002;1000000002;2;ПАСПОРТ ИН.ГРАЖДАНИНА;ШЕТЕЛ АЗАМАТЫНЫҢ ТӨЛҚҰЖАТЫ;FOREIGN PASSPORT;1;1000000002;18.03.16 17:25:14,815517000
1000000003;1000000003;3;УДОСТОВЕРЕНИЕ ЛИЧНОСТИ РК;ҚР ЖЕКЕ БАСЫНЫҢ КУӘЛІГІ;KAZAKHSTAN NATIONAL ID;1;1000000003;18.03.16 17:25:14,815517000
1110000129;1110000129;10;СЕРТИФИКАТ СПЕЦИАЛИСТА;СЕРТИФИКАТ СПЕЦИАЛИСТА;SPECIALIST CERTIFICATE;1;1110000129;04.01.20 10:59:46,421562000
